trial,portfolio_w,efficiency_w,construction_w,injury_blend,replacement_scale,injury_gp_min,round_clip_lo,round_clip_hi,qb2_threshold,qb3_threshold,te2_threshold,k_start_round,dst_start_round
52,62.205,30.744,7.051,0.206,0.921,8,0.294,2.45,12,9,8,14,9
53,58.385,32.7,8.916,0.225,0.969,8,0.265,2.259,12,10,7,14,9
54,56.094,39.576,4.329,0.212,1.094,8,0.344,2.359,10,8,5,14,11
55,66.945,28.951,4.104,0.318,1.01,7,0.286,2.153,10,11,8,12,9
56,63.666,32.447,3.887,0.349,1.085,10,0.372,2.258,13,8,8,13,9
57,66.509,29.79,3.7,0.374,0.914,10,0.334,1.938,13,10,7,14,11
58,63.477,31.617,4.906,0.166,1.044,10,0.387,2.323,12,8,8,13,11
59,61.089,34.911,4.0,0.23,1.064,9,0.365,2.296,13,11,7,13,9
60,52.361,37.306,10.332,0.124,0.927,7,0.287,2.484,10,9,7,13,10
61,58.581,31.451,9.968,0.124,1.074,9,0.35,2.122,13,10,8,14,11
62,59.375,36.681,3.944,0.324,0.933,9,0.35,1.961,10,11,8,14,9
63,61.268,30.784,7.949,0.169,0.914,10,0.312,2.165,12,11,8,12,10
64,66.005,27.748,6.247,0.224,0.9,9,0.284,2.171,13,10,5,13,9
65,57.866,32.881,9.253,0.122,0.989,7,0.366,1.977,12,9,7,14,9
66,56.27,40.411,3.319,0.191,1.065,9,0.31,1.96,13,8,8,13,9
67,64.616,29.591,5.793,0.223,0.907,10,0.378,2.363,11,11,6,12,9
68,55.333,39.744,4.922,0.294,1.033,9,0.365,2.454,10,9,7,14,9
69,57.822,37.445,4.733,0.291,1.098,7,0.328,1.963,11,11,6,13,9
70,66.148,30.08,3.772,0.361,0.971,7,0.308,1.963,11,8,5,14,11
71,64.395,30.141,5.464,0.27,1.086,10,0.372,2.228,12,9,6,12,11
72,63.997,31.361,4.642,0.206,1.023,9,0.297,2.343,10,11,5,13,10
73,64.538,29.983,5.479,0.153,0.96,8,0.314,2.031,10,8,6,13,10
74,59.263,32.666,8.071,0.129,0.938,8,0.388,2.305,10,11,6,14,9
75,63.952,32.419,3.628,0.16,0.976,8,0.29,1.917,12,8,7,12,11
76,60.462,34.695,4.844,0.339,0.919,10,0.381,2.282,12,10,8,13,10
77,62.199,34.634,3.168,0.307,1.048,7,0.289,1.912,12,8,8,12,11
78,66.413,27.462,6.125,0.332,0.912,10,0.371,2.36,12,8,6,14,9
79,53.252,36.857,9.891,0.352,1.046,7,0.37,2.334,11,11,5,12,11
80,63.715,32.628,3.657,0.251,1.041,10,0.318,2.001,10,10,7,13,9
81,64.112,27.477,8.411,0.207,0.9,7,0.352,2.248,13,9,6,14,11
82,63.579,32.116,4.305,0.138,1.063,9,0.336,2.402,12,11,6,13,10
83,56.526,33.518,9.956,0.321,1.079,8,0.283,2.306,11,11,5,12,10
84,59.766,36.931,3.304,0.318,0.983,7,0.354,2.238,13,9,7,14,10
85,61.153,32.619,6.228,0.223,0.928,9,0.274,2.126,10,8,6,12,9
86,63.943,30.825,5.232,0.201,0.905,10,0.253,2.157,11,11,6,13,9
87,60.021,33.606,6.373,0.181,1.071,9,0.274,2.359,13,11,6,14,10
88,60.79,30.363,8.847,0.378,1.082,10,0.275,2.371,13,9,6,12,9
89,54.249,36.329,9.422,0.232,0.989,9,0.295,2.145,11,8,7,12,9
90,61.934,31.032,7.035,0.132,1.089,7,0.29,2.152,10,9,7,12,11
91,62.338,29.588,8.074,0.27,1.042,7,0.386,2.026,11,10,7,14,9
92,55.282,39.505,5.213,0.251,0.912,7,0.34,2.04,13,9,6,13,11
93,59.748,34.876,5.376,0.338,1.057,9,0.386,2.0,12,11,5,12,9
94,63.487,29.132,7.381,0.256,1.009,8,0.321,2.023,10,10,7,12,10
95,57.439,35.722,6.838,0.288,1.015,9,0.386,1.986,12,9,5,14,10
96,55.036,32.97,11.995,0.152,0.914,7,0.364,2.307,11,8,8,13,9
97,56.812,35.987,7.201,0.192,1.076,9,0.32,2.387,10,10,5,13,10
98,60.76,31.26,7.979,0.142,1.094,7,0.369,2.208,13,9,5,13,10
99,50.869,38.442,10.689,0.29,1.099,8,0.301,2.335,13,9,5,13,10
100,52.307,37.118,10.574,0.352,1.09,8,0.255,2.161,10,9,7,13,9
101,65.71,29.8,4.49,0.344,0.984,9,0.251,2.493,10,9,6,13,11
102,56.995,38.822,4.183,0.211,0.993,10,0.341,2.045,11,11,5,13,9
103,59.49,33.348,7.162,0.229,1.089,7,0.323,1.928,11,8,6,13,11
104,60.174,34.12,5.707,0.336,1.056,9,0.376,1.916,11,8,5,12,9
105,56.793,38.376,4.831,0.216,1.091,7,0.302,1.942,12,10,6,12,10
106,51.946,39.133,8.92,0.13,1.038,8,0.392,2.367,13,10,8,12,10
107,59.478,34.971,5.551,0.214,0.932,10,0.376,2.122,13,11,6,14,10
108,57.92,31.412,10.668,0.245,1.011,10,0.286,2.101,11,11,8,13,9
109,61.543,30.087,8.371,0.211,1.038,7,0.381,2.025,12,8,6,14,9
110,55.036,39.742,5.222,0.372,0.949,7,0.308,2.301,11,11,5,12,9
111,62.272,33.097,4.631,0.249,1.006,7,0.267,2.167,12,10,5,14,10
112,58.753,30.73,10.517,0.342,1.094,9,0.344,2.276,11,9,6,14,11
113,56.23,37.253,6.518,0.302,1.056,7,0.398,2.016,12,9,7,12,9
114,55.441,33.679,10.88,0.165,0.967,9,0.358,2.09,12,8,8,13,10
115,60.923,36.033,3.044,0.185,1.039,9,0.286,2.315,12,10,7,12,11
116,50.248,38.462,11.29,0.185,1.063,9,0.279,2.329,11,11,7,13,10
117,55.604,32.871,11.525,0.168,1.017,10,0.38,2.211,12,10,5,13,11
118,60.547,36.047,3.406,0.142,0.953,9,0.273,2.163,12,10,7,14,10
119,53.077,36.134,10.789,0.238,1.023,9,0.278,2.433,13,9,5,12,9
120,51.446,37.819,10.734,0.165,0.952,9,0.295,1.951,13,11,5,14,11
121,53.046,38.76,8.195,0.374,0.924,10,0.396,2.379,13,11,8,12,10
122,56.225,34.257,9.518,0.33,0.911,10,0.339,2.03,11,8,5,13,10
123,55.558,40.528,3.914,0.34,1.054,7,0.33,1.952,11,9,6,13,9
124,56.593,35.378,8.029,0.295,0.94,9,0.3,2.049,11,10,6,12,10
125,57.314,34.495,8.192,0.132,1.055,8,0.339,2.188,13,10,7,12,9
126,59.321,36.312,4.366,0.171,1.025,7,0.392,2.313,12,9,5,14,10
127,57.362,33.131,9.507,0.154,0.994,7,0.372,2.087,11,10,8,13,11
128,56.424,35.003,8.573,0.155,0.946,9,0.275,2.178,11,10,7,12,10
129,57.744,32.45,9.806,0.148,0.955,9,0.348,2.173,10,10,8,13,11
130,57.513,32.728,9.759,0.271,1.097,7,0.361,2.477,13,8,6,14,11
131,62.987,31.208,5.805,0.163,0.909,7,0.315,2.366,11,9,7,13,9
132,55.391,34.36,10.248,0.263,1.013,10,0.294,2.334,11,10,5,13,10
133,55.166,36.96,7.874,0.141,1.023,10,0.366,2.292,13,11,8,13,10
134,56.39,33.678,9.932,0.214,0.908,9,0.291,2.073,10,11,7,12,10
135,59.057,30.461,10.481,0.232,0.94,9,0.271,2.34,10,8,6,14,10
136,60.827,34.977,4.197,0.177,0.952,8,0.372,2.099,10,9,8,12,10
137,55.9,39.484,4.617,0.276,1.021,7,0.329,2.209,12,11,5,14,9
138,55.843,34.853,9.304,0.179,1.03,10,0.352,2.182,13,10,5,13,11
139,65.01,28.783,6.206,0.309,0.97,10,0.295,2.482,11,10,8,14,9
140,55.78,36.746,7.474,0.14,1.01,7,0.376,2.002,12,8,8,13,11
141,56.935,35.094,7.972,0.128,0.996,10,0.317,2.476,13,11,8,13,9
142,60.392,29.186,10.422,0.151,1.024,7,0.279,2.191,10,8,8,13,10
143,60.587,31.712,7.701,0.193,1.074,9,0.295,1.976,13,8,8,13,10
144,60.354,32.292,7.354,0.366,0.962,8,0.328,2.494,12,9,6,14,9
145,54.102,40.864,5.035,0.294,0.959,7,0.357,1.996,12,11,5,14,9
146,60.019,36.207,3.773,0.311,1.022,10,0.39,2.356,12,11,6,13,10
147,57.387,33.959,8.654,0.224,0.947,9,0.372,2.149,10,8,7,14,9
148,55.071,35.068,9.861,0.323,1.092,9,0.379,2.147,11,10,8,13,9
149,56.987,33.245,9.768,0.292,0.935,7,0.34,2.159,11,10,5,14,10
150,57.066,36.423,6.511,0.194,1.043,9,0.39,2.326,11,10,8,12,11
151,62.887,32.001,5.112,0.217,0.944,8,0.307,2.47,11,10,6,13,11
152,54.121,35.867,10.012,0.203,1.06,7,0.296,2.065,12,8,7,13,11
153,52.134,40.332,7.535,0.233,1.075,9,0.355,2.209,12,11,5,12,9
154,61.789,27.763,10.448,0.229,0.918,10,0.391,2.229,13,8,7,13,10
155,55.83,35.062,9.108,0.228,0.936,7,0.283,2.084,12,8,7,12,10
156,57.552,35.986,6.462,0.125,1.058,8,0.3,2.155,12,8,8,13,11
157,55.226,39.054,5.72,0.35,0.987,10,0.353,2.212,13,10,5,13,9
158,61.414,27.577,11.009,0.151,1.061,9,0.352,2.456,11,10,5,12,9
159,63.201,28.758,8.042,0.186,1.053,8,0.357,2.396,10,11,5,14,11
160,52.783,39.242,7.975,0.207,0.947,8,0.26,2.161,12,9,6,12,9
161,54.246,40.435,5.319,0.251,1.099,10,0.326,2.084,11,10,7,14,9
162,58.385,38.04,3.575,0.17,1.035,7,0.326,2.083,12,8,7,13,11
163,57.082,34.756,8.162,0.244,0.908,7,0.352,2.422,11,11,8,13,9
164,59.053,36.363,4.584,0.363,1.092,10,0.295,2.065,11,10,8,13,10
165,59.113,32.076,8.811,0.299,1.016,9,0.326,1.952,12,10,5,14,11
166,56.369,36.497,7.134,0.246,1.037,8,0.358,1.913,10,8,6,12,9
167,61.868,30.081,8.051,0.173,0.946,9,0.301,2.204,12,11,8,12,10
168,60.057,33.928,6.015,0.29,1.001,7,0.273,2.312,10,8,6,12,11
169,62.876,27.668,9.457,0.371,1.005,10,0.273,1.982,11,8,8,14,11
170,58.043,31.54,10.417,0.24,1.079,10,0.321,2.207,13,9,5,12,10
171,55.721,35.925,8.354,0.188,0.993,8,0.361,2.048,10,10,6,14,10
172,57.439,39.583,2.978,0.255,0.913,10,0.294,2.294,12,11,7,12,11
173,60.537,33.074,6.389,0.251,1.046,8,0.368,2.284,10,8,8,14,9
174,58.615,32.969,8.415,0.333,1.082,7,0.369,2.381,11,8,6,12,11
175,58.527,30.686,10.787,0.212,1.001,9,0.343,2.406,12,9,5,13,11
176,53.617,35.894,10.489,0.205,1.059,8,0.32,1.999,12,10,6,12,9
177,59.978,31.942,8.08,0.161,1.031,9,0.266,2.045,11,10,7,14,9
178,60.56,34.69,4.751,0.334,1.037,7,0.269,2.122,12,10,7,12,9
179,57.29,34.643,8.067,0.275,0.972,7,0.361,1.972,10,9,7,12,10
180,65.257,30.423,4.32,0.192,1.056,8,0.341,2.151,10,8,7,14,11
181,53.479,38.773,7.748,0.164,1.033,8,0.274,2.229,12,9,5,13,10
182,67.812,28.218,3.97,0.129,1.026,7,0.282,2.358,12,11,6,12,9
183,53.593,35.73,10.677,0.277,0.991,7,0.326,2.489,12,10,5,13,10
184,60.177,34.187,5.637,0.205,1.05,10,0.354,2.38,13,11,6,12,10
185,66.507,30.003,3.49,0.292,1.063,7,0.332,2.26,13,10,7,12,10
186,58.303,32.349,9.347,0.241,0.971,7,0.36,2.436,10,10,6,12,10
187,58.887,36.579,4.534,0.378,0.952,8,0.348,2.345,10,8,6,13,10
188,51.402,38.385,10.213,0.329,1.025,10,0.27,2.076,10,8,7,13,9
189,54.598,35.944,9.457,0.318,0.987,10,0.297,2.094,13,8,6,12,11
190,56.605,34.114,9.28,0.285,1.062,10,0.362,2.25,13,10,5,14,9
191,57.163,35.823,7.014,0.253,1.052,8,0.255,2.154,13,11,7,14,11
192,63.137,32.92,3.943,0.261,0.94,9,0.296,2.381,12,8,5,12,9
193,55.542,35.049,9.409,0.368,1.018,10,0.293,2.087,11,11,5,14,11
194,56.974,35.684,7.342,0.259,1.028,7,0.262,2.054,11,9,8,13,10
195,62.505,31.305,6.19,0.203,0.986,8,0.353,2.278,12,8,7,14,10
196,59.17,31.358,9.472,0.176,0.971,9,0.376,1.915,13,8,8,12,9
197,66.497,29.945,3.558,0.145,1.061,7,0.357,2.264,10,8,8,12,10
198,63.877,29.091,7.032,0.27,1.029,7,0.356,2.018,13,8,7,13,10
199,58.738,32.495,8.767,0.183,0.929,8,0.342,2.253,11,11,8,12,10
200,56.801,33.058,10.141,0.379,0.919,10,0.284,2.198,13,10,8,14,10
201,62.609,33.427,3.963,0.175,1.014,10,0.297,1.913,13,11,7,12,11
202,52.888,38.744,8.367,0.256,1.094,7,0.353,2.1,13,8,8,14,10
203,58.523,31.71,9.766,0.311,0.972,9,0.356,2.389,10,8,8,12,11
204,65.35,28.708,5.942,0.276,1.094,9,0.303,2.432,13,9,7,13,9
205,61.036,29.346,9.618,0.186,1.001,9,0.272,2.097,11,10,7,13,10
206,63.02,29.808,7.172,0.252,1.0,10,0.36,2.413,10,11,5,12,10
207,54.302,37.095,8.603,0.286,0.961,9,0.341,2.253,10,8,8,14,9
208,59.641,34.696,5.662,0.266,1.022,8,0.3,2.326,11,9,5,12,9
209,53.202,41.189,5.609,0.235,1.003,8,0.398,2.415,11,11,8,13,11
210,61.47,29.214,9.316,0.174,1.063,7,0.27,2.394,12,11,8,12,11
211,58.469,31.052,10.479,0.295,1.017,9,0.357,2.496,12,11,6,12,10
212,55.645,33.4,10.955,0.136,0.973,9,0.285,2.469,11,9,5,14,11
213,57.127,32.495,10.378,0.337,0.931,10,0.338,1.922,10,11,7,12,11
214,62.123,30.696,7.181,0.146,1.014,8,0.367,2.24,13,10,6,12,10
215,58.107,32.968,8.925,0.141,0.936,7,0.374,2.136,11,8,6,13,10
216,63.311,26.652,10.037,0.296,0.907,10,0.316,2.181,11,11,6,13,10
217,60.645,32.189,7.166,0.249,1.013,10,0.257,2.339,11,10,8,12,11
218,61.114,31.936,6.95,0.24,1.002,7,0.344,2.016,13,9,6,13,9
219,61.306,28.986,9.708,0.195,1.015,8,0.302,2.197,10,9,5,13,10
220,56.47,37.026,6.504,0.157,0.903,9,0.315,2.012,12,8,7,14,10
221,61.403,28.731,9.866,0.129,1.066,10,0.255,2.086,13,10,6,12,9
222,60.302,34.674,5.024,0.271,1.077,7,0.258,2.449,12,9,5,13,11
223,57.805,32.111,10.084,0.305,0.939,7,0.319,2.078,10,9,8,14,11
224,58.833,32.7,8.467,0.27,0.909,7,0.378,2.099,12,8,7,12,10
225,64.123,31.682,4.195,0.341,1.012,7,0.332,2.118,10,9,6,12,10
226,52.771,39.157,8.073,0.237,1.07,9,0.3,2.383,10,11,5,13,10
227,59.368,31.585,9.048,0.339,0.902,7,0.397,1.998,13,9,8,13,11
228,61.209,29.154,9.638,0.2,1.081,7,0.393,2.391,11,9,6,14,10
229,63.921,31.265,4.815,0.251,0.991,8,0.379,1.982,11,11,8,12,9
230,64.175,28.777,7.048,0.304,0.977,7,0.279,2.146,13,9,8,14,9
231,63.168,32.641,4.19,0.256,0.975,9,0.336,2.192,10,11,8,13,10
232,62.918,33.44,3.642,0.282,1.097,8,0.255,2.42,10,11,5,12,9
233,60.496,33.077,6.427,0.152,0.967,10,0.331,2.066,10,8,6,12,10
234,58.558,36.327,5.114,0.333,1.032,8,0.333,2.274,13,10,5,14,9
235,56.419,32.04,11.541,0.26,0.984,7,0.386,2.371,10,11,7,13,11
236,54.867,37.637,7.496,0.33,1.067,9,0.304,1.978,13,8,5,13,11
237,59.787,33.155,7.058,0.297,1.009,7,0.279,1.907,13,8,5,14,10
238,59.346,29.335,11.32,0.197,1.057,7,0.351,2.241,11,9,7,12,9
239,58.173,38.949,2.877,0.256,0.93,9,0.251,2.293,13,11,8,13,11
240,57.663,33.778,8.559,0.343,1.049,10,0.289,2.492,11,10,5,14,11
241,62.737,31.905,5.357,0.221,0.999,9,0.282,2.194,10,8,6,12,9
242,60.842,27.48,11.678,0.216,0.988,7,0.257,2.4,11,9,8,12,11
243,65.531,27.862,6.608,0.154,1.019,8,0.366,2.011,10,11,7,13,11
244,56.918,35.375,7.707,0.256,1.046,7,0.327,1.943,10,9,7,14,11
245,55.432,35.385,9.182,0.35,1.094,7,0.394,2.494,13,11,5,14,10
246,58.771,30.812,10.417,0.374,0.923,9,0.307,2.182,10,8,7,13,10
247,64.659,30.747,4.594,0.153,1.092,9,0.355,2.235,10,9,5,12,11
248,63.141,33.082,3.777,0.192,1.043,7,0.297,1.984,11,10,5,14,11
249,53.54,35.732,10.728,0.206,1.062,10,0.302,1.952,10,8,5,13,10
250,59.128,33.446,7.426,0.232,1.023,8,0.393,2.498,13,9,8,14,10
